id,title,budget,genre,popularity,release_date,revenue,runtime,vote_average
20468,,,Foreign,,,,,
204686,,,Romance,,,,,
204686,,,Comedy,,,,,
204690,,,Romance,,,,,
204690,,,Drama,,,,,
2047,,,Drama,,,,,
2047,,,Thriller,,,,,
2047,,,Crime,,,,,
2047,,,Action,,,,,
204709,,,Drama,,,,,
20471,,,Drama,,,,,
20471,,,Comedy,,,,,
20471,,,Adventure,,,,,
204712,,,Family,,,,,
204712,,,Animation,,,,,
20472,,,Horror,,,,,
20472,,,Fantasy,,,,,
20472,,,Comedy,,,,,
20473,,,Comedy,,,,,
20473,,,Family,,,,,
20473,,,Science Fiction,,,,,
204737,,,TV Movie,,,,,
204737,,,Drama,,,,,
204755,,,Drama,,,,,
204755,,,History,,,,,
204755,,,Action,,,,,
204755,,,Animation,,,,,
204762,,,Comedy,,,,,
204762,,,Drama,,,,,
204765,,,Comedy,,,,,
204768,,,Comedy,,,,,
20478,,,Drama,,,,,
20478,,,Romance,,,,,
204784,,,Drama,,,,,
2048,"I, Robot",120000000,Science Fiction,14.43075,2004-07-15,347234916.0,115.0,6.7
2048,"I, Robot",120000000,Action,14.43075,2004-07-15,347234916.0,115.0,6.7
204800,,,Drama,,,,,
204802,,,Drama,,,,,
204802,,,History,,,,,
20481,Nightbreed,11000000,Fantasy,6.372135,1990-02-16,8862354.0,102.0,6.4
20481,Nightbreed,11000000,Action,6.372135,1990-02-16,8862354.0,102.0,6.4
20481,Nightbreed,11000000,Drama,6.372135,1990-02-16,8862354.0,102.0,6.4
20481,Nightbreed,11000000,Horror,6.372135,1990-02-16,8862354.0,102.0,6.4
204810,Hunting Elephants,2300000,Crime,1.050644,2013-07-03,4500000.0,107.0,6.2
204810,Hunting Elephants,2300000,Comedy,1.050644,2013-07-03,4500000.0,107.0,6.2
20482,,,Thriller,,,,,
20482,,,Mystery,,,,,
20482,,,Drama,,,,,
20482,,,Crime,,,,,
20483,Catch That Kid,18000000,Family,5.226389,2004-02-06,16702864.0,92.0,5.0
20483,Catch That Kid,18000000,Action,5.226389,2004-02-06,16702864.0,92.0,5.0
20483,Catch That Kid,18000000,Adventure,5.226389,2004-02-06,16702864.0,92.0,5.0
204839,,,Horror,,,,,
2049,,,Foreign,,,,,
2049,,,Documentary,,,,,
204904,,,Fantasy,,,,,
204904,,,Thriller,,,,,
204922,Before I Go to Sleep,22000000,Thriller,14.921298,2014-09-03,15447154.0,92.0,6.2
204922,Before I Go to Sleep,22000000,Mystery,14.921298,2014-09-03,15447154.0,92.0,6.2
20493,Love Story 2050,20000000,Science Fiction,0.304988,2008-07-04,5000000.0,171.0,3.6
20493,Love Story 2050,20000000,Romance,0.304988,2008-07-04,5000000.0,171.0,3.6
20494,,,Comedy,,,,,
20494,,,Crime,,,,,
20495,,,Romance,,,,,
20495,,,Foreign,,,,,
20495,,,Comedy,,,,,
20495,,,Drama,,,,,
204965,,,Romance,,,,,
204965,,,Comedy,,,,,
204968,Jack Strong,3335702,Action,1.963912,2014-02-07,0.0,128.0,6.1
204968,Jack Strong,3335702,Drama,1.963912,2014-02-07,0.0,128.0,6.1
204968,Jack Strong,3335702,Crime,1.963912,2014-02-07,0.0,128.0,6.1
204968,Jack Strong,3335702,Mystery,1.963912,2014-02-07,0.0,128.0,6.1
20497,,,TV Movie,,,,,
20497,,,Family,,,,,
20497,,,Drama,,,,,
20499,The Cutter,6000000,Action,4.421468,2005-11-21,0.0,92.0,4.1
20499,The Cutter,6000000,Thriller,4.421468,2005-11-21,0.0,92.0,4.1
20499,The Cutter,6000000,Adventure,4.421468,2005-11-21,0.0,92.0,4.1
204994,,,Western,,,,,
204994,,,War,,,,,
204996,,,Documentary,,,,,
204997,,,Mystery,,,,,
204997,,,Crime,,,,,
205,Hotel Rwanda,17500000,War,10.262332,2004-09-11,38000000.0,121.0,7.5
205,Hotel Rwanda,17500000,Drama,10.262332,2004-09-11,38000000.0,121.0,7.5
205,Hotel Rwanda,17500000,History,10.262332,2004-09-11,38000000.0,121.0,7.5
205004,,,Western,,,,,
205004,,,Adventure,,,,,
205017,Lootera,4100000,Drama,1.296259,2013-04-04,4300000.0,136.0,6.6
205017,Lootera,4100000,Romance,1.296259,2013-04-04,4300000.0,136.0,6.6
20502,,,Drama,,,,,
205022,Chennai Express,18000000,Comedy,4.19356,2013-08-09,62000000.0,141.0,6.5
205022,Chennai Express,18000000,Action,4.19356,2013-08-09,62000000.0,141.0,6.5
205022,Chennai Express,18000000,Romance,4.19356,2013-08-09,62000000.0,141.0,6.5
20504,The Book of Eli,80000000,Action,14.39853,2010-01-14,157107755.0,118.0,6.6
20504,The Book of Eli,80000000,Thriller,14.39853,2010-01-14,157107755.0,118.0,6.6
20504,The Book of Eli,80000000,Science Fiction,14.39853,2010-01-14,157107755.0,118.0,6.6
205054,,,Comedy,,,,,
205055,,,Documentary,,,,,
20506,,,Drama,,,,,
20507,,,Horror,,,,,
20507,,,Mystery,,,,,
20507,,,Foreign,,,,,
205076,,,Thriller,,,,,
20511,,,Drama,,,,,
20511,,,Thriller,,,,,
20511,,,Crime,,,,,
20513,,,Drama,,,,,
20513,,,Romance,,,,,
20520,,,Comedy,,,,,
20520,,,Drama,,,,,
20521,,,Comedy,,,,,
20521,,,Music,,,,,
205220,Philomena,12000000,Drama,6.927182,2013-11-01,100129872.0,98.0,7.4
205221,,,Drama,,,,,
